PIF Entry 0: Token Value: var, Extra Info: -1
PIF Entry 1: Token Value: a, Extra Info: 0
PIF Entry 2: Token Value: int, Extra Info: -1
PIF Entry 3: Token Value: ;, Extra Info: -1
PIF Entry 4: Token Value: var, Extra Info: -1
PIF Entry 5: Token Value: b, Extra Info: 1
PIF Entry 6: Token Value: int, Extra Info: -1
PIF Entry 7: Token Value: ;, Extra Info: -1
PIF Entry 8: Token Value: var, Extra Info: -1
PIF Entry 9: Token Value: c, Extra Info: 2
PIF Entry 10: Token Value: int, Extra Info: -1
PIF Entry 11: Token Value: ;, Extra Info: -1
PIF Entry 12: Token Value: var, Extra Info: -1
PIF Entry 13: Token Value: max, Extra Info: 9
PIF Entry 14: Token Value: int, Extra Info: -1
PIF Entry 15: Token Value: ;, Extra Info: -1
PIF Entry 16: Token Value: var, Extra Info: -1
PIF Entry 17: Token Value: min, Extra Info: 3
PIF Entry 18: Token Value: int, Extra Info: -1
PIF Entry 19: Token Value: ;, Extra Info: -1
PIF Entry 20: Token Value: max, Extra Info: 9
PIF Entry 21: Token Value: =, Extra Info: -1
PIF Entry 22: Token Value: a, Extra Info: 0
PIF Entry 23: Token Value: ;, Extra Info: -1
PIF Entry 24: Token Value: if, Extra Info: -1
PIF Entry 25: Token Value: (, Extra Info: -1
PIF Entry 26: Token Value: b, Extra Info: 1
PIF Entry 27: Token Value: >, Extra Info: -1
PIF Entry 28: Token Value: max, Extra Info: 9
PIF Entry 29: Token Value: ), Extra Info: -1
PIF Entry 30: Token Value: {, Extra Info: -1
PIF Entry 31: Token Value: max, Extra Info: 9
PIF Entry 32: Token Value: =, Extra Info: -1
PIF Entry 33: Token Value: b, Extra Info: 1
PIF Entry 34: Token Value: ;, Extra Info: -1
PIF Entry 35: Token Value: }, Extra Info: -1
PIF Entry 36: Token Value: if, Extra Info: -1
PIF Entry 37: Token Value: (, Extra Info: -1
PIF Entry 38: Token Value: c, Extra Info: 2
PIF Entry 39: Token Value: >, Extra Info: -1
PIF Entry 40: Token Value: max, Extra Info: 9
PIF Entry 41: Token Value: ), Extra Info: -1
PIF Entry 42: Token Value: {, Extra Info: -1
PIF Entry 43: Token Value: max, Extra Info: 9
PIF Entry 44: Token Value: =, Extra Info: -1
PIF Entry 45: Token Value: c, Extra Info: 2
PIF Entry 46: Token Value: ;, Extra Info: -1
PIF Entry 47: Token Value: }, Extra Info: -1
PIF Entry 48: Token Value: write, Extra Info: -1
PIF Entry 49: Token Value: (, Extra Info: -1
PIF Entry 50: Token Value: max, Extra Info: 9
PIF Entry 51: Token Value: ), Extra Info: -1
PIF Entry 52: Token Value: ;, Extra Info: -1
